Plot Title: Huancaro,,,,,,
#,"Date Time, GMT-05:00","Event, units (LGR S/N: 20652619, SEN S/N: 20652619)",Coupler Attached (LGR S/N: 20652619),Host Connected (LGR S/N: 20652619),Stopped (LGR S/N: 20652619),End Of File (LGR S/N: 20652619)
1,2020-06-08 14:25,0,,,,
2,2020-06-08 14:25,1,,,,
3,2020-06-08 14:25,2,,,,
4,2020-06-08 14:26,3,,,,
5,2020-06-08 14:26,4,,,,
6,2020-06-08 14:27,5,,,,
7,2020-06-08 14:27,6,,,,
8,2020-07-13 16:37,7,,,,
9,2020-07-13 16:40,8,,,,
10,2020-07-13 16:41,9,,,,
11,2020-07-13 16:43,10,,,,
12,2020-07-13 16:45,11,,,,
13,2020-07-13 16:46,12,,,,
14,2020-07-13 16:48,13,,,,
15,2020-07-13 16:49,14,,,,
16,2020-07-13 16:54,15,,,,
17,2020-07-13 17:46,16,,,,
18,2020-07-13 18:00,17,,,,
19,2020-08-11 23:07,18,,,,
20,2020-08-11 23:12,19,,,,
21,2020-08-11 23:15,20,,,,
22,2020-08-11 23:21,21,,,,
23,2020-08-11 23:28,22,,,,
24,2020-08-12 0:53,23,,,,
25,2020-08-12 1:20,24,,,,
26,2020-08-12 5:43,25,,,,
27,2020-08-12 6:04,26,,,,
28,2020-09-04 14:48,27,,,,
29,2020-09-04 14:53,28,,,,
30,2020-09-04 14:55,29,,,,
31,2020-09-04 14:56,30,,,,
32,2020-09-04 15:09,31,,,,
33,2020-09-08 0:22,32,,,,
34,2020-09-08 0:52,33,,,,
35,2020-09-08 14:14,34,,,,
36,2020-09-12 15:57,35,,,,
37,2020-09-12 15:59,36,,,,
38,2020-09-12 16:04,37,,,,
39,2020-09-12 16:14,38,,,,
40,2020-09-12 16:19,39,,,,
41,2020-09-12 16:28,40,,,,
42,2020-09-30 16:09,41,,,,
43,2020-09-30 16:38,42,,,,
44,2020-10-17 12:14,43,,,,
45,2020-10-17 12:27,44,,,,
46,2020-10-17 13:05,45,,,,
47,2020-10-18 11:31,46,,,,
48,2020-10-18 22:26,47,,,,
49,2020-10-18 22:27,48,,,,
50,2020-10-18 22:29,49,,,,
51,2020-10-18 22:32,50,,,,
52,2020-10-18 22:37,51,,,,
53,2020-10-18 22:39,52,,,,
54,2020-10-18 22:41,53,,,,
55,2020-10-18 22:43,54,,,,
56,2020-10-18 22:45,55,,,,
57,2020-10-18 22:47,56,,,,
58,2020-10-18 22:50,57,,,,
59,2020-10-18 22:53,58,,,,
60,2020-10-18 23:11,59,,,,
61,2020-10-19 1:11,60,,,,
62,2020-10-19 23:43,61,,,,
63,2020-10-19 23:50,62,,,,
64,2020-10-19 23:55,63,,,,
65,2020-10-19 23:57,64,,,,
66,2020-10-20 0:00,65,,,,
67,2020-10-20 0:01,66,,,,
68,2020-10-20 0:03,67,,,,
69,2020-10-20 0:05,68,,,,
70,2020-10-20 0:13,69,,,,
71,2020-10-20 0:16,70,,,,
72,2020-10-20 4:19,71,,,,
73,2020-10-21 12:48,72,,,,
74,2020-10-21 12:52,73,,,,
75,2020-10-21 12:54,74,,,,
76,2020-10-21 12:59,75,,,,
77,2020-10-22 13:30,76,,,,
78,2020-10-22 13:32,77,,,,
79,2020-10-22 13:33,78,,,,
80,2020-10-22 13:34,79,,,,
81,2020-10-22 13:35,80,,,,
82,2020-10-22 13:36,81,,,,
83,2020-10-22 13:37,82,,,,
84,2020-10-22 13:37,83,,,,
85,2020-10-22 13:39,84,,,,
86,2020-10-22 13:42,85,,,,
87,2020-10-22 13:43,86,,,,
88,2020-10-22 13:45,87,,,,
89,2020-10-22 13:46,88,,,,
90,2020-10-22 13:48,89,,,,
91,2020-10-22 13:48,90,,,,
92,2020-10-22 13:48,91,,,,
93,2020-10-22 13:49,92,,,,
94,2020-10-22 13:49,93,,,,
95,2020-10-22 13:49,94,,,,
96,2020-10-22 13:53,95,,,,
97,2020-10-22 13:55,96,,,,
98,2020-10-22 14:01,97,,,,
99,2020-10-22 14:02,98,,,,
100,2020-10-22 14:03,99,,,,
101,2020-10-22 14:04,100,,,,
102,2020-10-22 14:08,101,,,,
103,2020-10-22 14:12,102,,,,
104,2020-10-22 14:26,103,,,,
105,2020-10-22 14:32,104,,,,
106,2020-10-22 15:07,105,,,,
107,2020-10-23 12:44,106,,,,
108,2020-10-23 13:03,107,,,,
109,2020-10-23 13:07,108,,,,
110,2020-10-23 13:19,109,,,,
111,2020-10-23 13:36,110,,,,
112,2020-10-23 17:16,111,,,,
113,2020-10-23 17:21,112,,,,
114,2020-10-23 17:24,113,,,,
115,2020-10-23 17:25,114,,,,
116,2020-10-23 17:26,115,,,,
117,2020-10-23 17:28,116,,,,
118,2020-10-23 17:33,117,,,,
119,2020-10-23 17:36,118,,,,
120,2020-10-23 17:40,119,,,,
121,2020-10-23 17:45,120,,,,
122,2020-10-23 22:23,121,,,,
123,2020-10-23 23:01,122,,,,
124,2020-10-24 0:15,123,,,,
125,2020-10-25 17:08,124,,,,
126,2020-10-25 17:09,125,,,,
127,2020-10-25 17:09,126,,,,
128,2020-10-25 17:10,127,,,,
129,2020-10-25 17:11,128,,,,
130,2020-10-25 17:12,129,,,,
131,2020-10-25 17:13,130,,,,
132,2020-10-25 17:14,131,,,,
133,2020-10-25 17:15,132,,,,
134,2020-10-25 17:16,133,,,,
135,2020-10-25 17:16,134,,,,
136,2020-10-25 17:17,135,,,,
137,2020-10-25 17:18,136,,,,
138,2020-10-25 17:20,137,,,,
139,2020-10-25 17:23,138,,,,
140,2020-10-25 17:28,139,,,,
141,2020-10-25 17:33,140,,,,
142,2020-10-25 17:44,141,,,,
143,2020-10-25 18:02,142,,,,
144,2020-10-27 14:43,143,,,,
145,2020-10-27 14:43,144,,,,
146,2020-10-27 14:44,,Logged,Logged,,
147,2020-10-27 14:47,144,,,Logged,Logged
